taxonID,fullname,guid,family
139592,Afroneta bidentata,,Linyphiidae
139594,Afroneta brevistyla,,Linyphiidae
140825,Brattia africana,,Linyphiidae
140826,Brattia dubia,,Linyphiidae
142349,Elgonia annemetteae,,Linyphiidae
142350,Elgonia annulata,,Linyphiidae
142351,Elgonia basalis,,Linyphiidae
142352,Elgonia brachystegiae,,Linyphiidae
142353,Elgonia falciformis,,Linyphiidae
142354,Elgonia hirsuta,,Linyphiidae
142355,Elgonia holmi,,Linyphiidae
142356,Elgonia limpida,,Linyphiidae
142357,Elgonia nemoralis,,Linyphiidae
142358,Elgonia perturbatrix,,Linyphiidae
142359,Elgonia producta,,Linyphiidae
142360,Elgonia projecta,,Linyphiidae
142361,Elgonia rungwensis,,Linyphiidae
142362,Elgonia stoltzei,,Linyphiidae
142397,Eperigone fradeorum,,Linyphiidae
144111,Lepthyphantes extensus,,Linyphiidae
144112,Lepthyphantes hebes,,Linyphiidae
144141,Lepthyphantes vanstalli,,Linyphiidae
145318,Notioscopus gibbicervix,,Linyphiidae
148667,Toschia extensa,,Linyphiidae
149013,Walckenaeria eruensis,,Linyphiidae
140175,Araneus flexuosus,,Araneidae
140195,Araneus liriope,,Araneidae
140229,Araneus test,,Araneidae
145315,Cladomelea normale,,Araneidae
145184,Neoscona modesta,,Araneidae
145198,Neoscona theisi,urn:lsid:nmbe.ch:spidersp:016767,Araneidae
145214,Nephila inaurata,,Araneidae
146932,Pycnacantha hystrix,,Araneidae
147445,Singafrotypa goliath,,Araneidae
148750,Trichonephila inaurata,urn:lsid:nmbe.ch:spidersp:013954,Araneidae
148754,Trichonephila senegalensis,urn:lsid:nmbe.ch:spidersp:013975,Araneidae
148873,Umbonato spinosissima,,Araneidae
139360,Acanthinozodium quericola,,Zodariidae
140519,Australutica robertsoni,,Zodariidae
140904,Caesetius fagei,,Zodariidae
141024,Capheris falconeri,,Zodariidae
141026,Capheris giltayi,,Zodariidae
141030,Capheris maculata,,Zodariidae
141032,Capheris septemguttata,,Zodariidae
141035,Capheris vandami,,Zodariidae
141690,Crypthothele alluaudi,,Zodariidae
141825,Cydrela multipunctata,,Zodariidae
144382,Madrela angusta,,Zodariidae
139365,Achaearanea acoreensis,,Theridiidae
139967,Anelosimus annelie,,Theridiidae
140333,Argyrodes affinis,,Theridiidae
140338,Argyrodes campestratus,,Theridiidae
140343,Argyrodes helminthoides,,Theridiidae
140345,Argyrodes jeanneli,,Theridiidae
140351,Argyrodes nasicus,,Theridiidae
140357,Argyrodes sextuberculosus-dilutior,,Theridiidae
140358,Argyrodes sjostedti,,Theridiidae
148275,Theridion guineense,,Theridiidae
148281,Theridion kijabei,,Theridiidae
148317,Theridion scenicum,,Theridiidae
148328,Theridion vosserleri,,Theridiidae
139429,Aelurillus lymphus,,Salticidae
139439,Aenigma incognita,,Salticidae
139460,Afraflacilla firma,,Salticidae
139521,Afrobeata frobeata,,Salticidae
139586,Afronellus ansieae,,Salticidae
140610,Beata lineata,,Salticidae
140713,Blaisea bicalcarata,,Salticidae
140714,Blaisea lyrata,,Salticidae
141632,Cosmophasis caerulea,,Salticidae
141637,Cosmophasis natalensis,,Salticidae
141638,Cosmophasis nigrocyanea,,Salticidae
141640,Cosmophasis quadrimaculata,,Salticidae
142479,Euophrys bifiola,,Salticidae
142571,Evarcha cara,,Salticidae
142578,Evarcha dotata,,Salticidae
142645,Festucula pseudolawrencei,,Salticidae
142880,Habrocestum mosum,,Salticidae
142882,Habrocestum paralbimanum,,Salticidae
143007,Hasarius duboscqi,,Salticidae
143013,Hasarius petersi,,Salticidae
143088,Heliophanus konradi,,Salticidae
143128,Heliophanus spendidus,,Salticidae
143636,Hyllus inflata,,Salticidae
143661,Hyllus succini,,Salticidae
143971,Langona bethove,,Salticidae
143998,Langonella alba,,Salticidae
143999,Langonella bitenuistripa,,Salticidae
144224,Lilliput minutus,,Salticidae
144225,Lilliput mkomaziensis,,Salticidae
144226,Lilliput pusillus,,Salticidae
